cause,effect,var_lag_order,test,stat,pvalue,alpha
energy/co2_dosage,compartment/co2_concentration,9,f,641.8537606793831,0.0,0.1
compartment/air_temperature,substrate_temperature_mean,9,f,107.04014313954056,4.200939719515721e-201,0.1
compartment/par,substrate_temperature_mean,9,f,99.10610946276574,8.754869702497216e-186,0.1
compartment/par,compartment/humidity_deficit,9,f,67.65637341517919,4.003421452720051e-125,0.1
compartment/co2_concentration,energy/co2_dosage,9,f,58.39728374750265,2.660821283181532e-107,0.1
compartment/humidity_deficit,compartment/window_position_lee_side,9,f,50.031276165810205,3.1785976419168504e-91,0.1
compartment/screen_energy/screen_position,compartment/air_temperature,9,f,46.28323933525666,4.942649489541084e-84,0.1
compartment/par,compartment/air_temperature,9,f,44.79526008894939,3.52185739904131e-81,0.1
energy/electricity_use.lighting,compartment/par,9,f,44.567969726122584,9.603179057481071e-81,0.1
energy/energy_use.heating,compartment/air_temperature,9,f,42.179111790395744,3.6217475232417113e-76,0.1
compartment/humidity_deficit,compartment/air_temperature,9,f,39.29664277445569,1.1891528367683862e-70,0.1
compartment/window_position_lee_side,compartment/air_temperature,9,f,37.147234484146175,1.5272926922126135e-66,0.1
energy/energy_use.heating,compartment/humidity_deficit,9,f,37.141676664559824,1.5650943352692468e-66,0.1
compartment/air_temperature,compartment/window_position_wind_side,9,f,36.037615719976856,2.010147687588798e-64,0.1
compartment/humidity_deficit,compartment/window_position_wind_side,9,f,35.092342377754235,1.2811735503898757e-62,0.1
compartment/air_temperature,compartment/humidity_deficit,9,f,33.61648124710868,8.370504923429391e-60,0.1
compartment/screen_blackout/screen_position,compartment/air_temperature,9,f,32.56993993603505,8.267259864659578e-58,0.1
compartment/leaf_temperature,substrate_temperature_mean,9,f,28.058041731663295,3.1519496282098763e-49,0.1
compartment/air_temperature,compartment/window_position_lee_side,9,f,27.58675042518586,2.471681405259491e-48,0.1
compartment/screen_energy/screen_position,compartment/humidity_deficit,9,f,26.001179894610402,2.5056720827520232e-45,0.1
compartment/window_position_lee_side,compartment/co2_concentration,9,f,25.63461307129995,1.2391591547887116e-44,0.1
compartment/air_temperature,compartment/leaf_temperature,9,f,25.404165126061613,3.3837533832758904e-44,0.1
substrate_temperature_mean,compartment/par,9,f,23.592092739947223,9.028367113731974e-41,0.1
compartment/humidity_deficit,compartment/heating_lower_circuit/pipe_temperature,9,f,22.524916530880464,9.321544766801175e-39,0.1
substrate_relative_permittivity_mean,substrate_bulk_ec_mean,9,f,21.482470626881828,8.581512847711625e-37,0.1
compartment/heating_lower_circuit/pipe_temperature,compartment/air_temperature,9,f,21.133950295771733,3.885685812893381e-36,0.1
compartment/window_position_lee_side,energy/co2_dosage,9,f,19.915861084847577,7.5628647089851975e-34,0.1
compartment/humidity_deficit,substrate_temperature_mean,9,f,19.73657978546295,1.6412555541205697e-33,0.1
compartment/window_position_lee_side,energy/energy_use.heating,9,f,19.553859751438253,3.6140732303342666e-33,0.1
compartment/window_position_wind_side,energy/energy_use.heating,9,f,17.67607435552982,1.1838747639181441e-29,0.1
compartment/screen_blackout/screen_position,compartment/humidity_deficit,9,f,16.79407142016769,5.235863575212761e-28,0.1
compartment/screen_energy/screen_position,compartment/co2_concentration,9,f,16.692743794593813,8.087251883824428e-28,0.1
compartment/leaf_temperature,compartment/par,9,f,16.38173142955374,3.0690224469617386e-27,0.1
energy/energy_use.heating,compartment/heating_lower_circuit/pipe_temperature,9,f,15.927209416291975,2.1503486568246626e-26,0.1
energy/electricity_use.lighting,compartment/air_temperature,9,f,15.750509548564562,4.580285724386069e-26,0.1
compartment/humidity_deficit,compartment/screen_energy/screen_position,9,f,15.227234303904847,4.28816219739993e-25,0.1
compartment/humidity_deficit,energy/energy_use.heating,9,f,14.839773013926042,2.240948968370055e-24,0.1
compartment/screen_energy/screen_position,energy/co2_dosage,9,f,14.144448417212502,4.332081238689844e-23,0.1
substrate_relative_permittivity_mean,substrate_temperature_mean,9,f,14.035056159207592,6.898385888394971e-23,0.1
compartment/heating_lower_circuit/pipe_temperature,compartment/humidity_deficit,9,f,13.903284256165616,1.2078609083745902e-22,0.1
compartment/leaf_temperature,compartment/air_temperature,9,f,13.892210902161317,1.2660591068582158e-22,0.1
energy/electricity_use.lighting,compartment/co2_concentration,9,f,13.70782607012928,2.7708884994654266e-22,0.1
compartment/par,compartment/leaf_temperature,9,f,13.612247772431926,4.15762269505631e-22,0.1
compartment/screen_blackout/screen_position,energy/energy_use.heating,9,f,13.525290003869909,6.01332234725566e-22,0.1
compartment/par,compartment/window_position_lee_side,9,f,12.742079117100129,1.6589236404858693e-20,0.1
energy/electricity_use.lighting,compartment/screen_energy/screen_position,9,f,12.63484352210145,2.6101968525705767e-20,0.1
compartment/screen_blackout/screen_position,compartment/heating_lower_circuit/pipe_temperature,9,f,12.458105929161807,5.506459869364457e-20,0.1
compartment/window_position_lee_side,compartment/heating_lower_circuit/pipe_temperature,9,f,12.272206949288861,1.206595660991182e-19,0.1
compartment/window_position_wind_side,compartment/heating_lower_circuit/pipe_temperature,9,f,11.830032349193036,7.772502512489961e-19,0.1
energy/electricity_use.lighting,compartment/screen_blackout/screen_position,9,f,10.907538191361981,3.729448241229258e-17,0.1
compartment/screen_energy/screen_position,compartment/leaf_temperature,9,f,10.83061052728674,5.145021294581776e-17,0.1
compartment/air_temperature,energy/energy_use.heating,9,f,10.587738552418081,1.419357894957191e-16,0.1
compartment/heating_lower_circuit/pipe_temperature,energy/energy_use.heating,9,f,10.49423701701527,2.096790198750843e-16,0.1
compartment/air_temperature,compartment/screen_energy/screen_position,9,f,10.238126942391954,6.097313069169402e-16,0.1
compartment/water_supply/water_flow_duration,substrate_bulk_ec_mean,9,f,10.227054655236007,6.384991876897742e-16,0.1
compartment/water_supply/water_flow_duration,substrate_relative_permittivity_mean,9,f,10.13055364035206,9.540909379313952e-16,0.1
compartment/screen_blackout/screen_position,energy/electricity_use.lighting,9,f,9.484284262231418,1.3939616414667485e-14,0.1
compartment/par,energy/co2_dosage,9,f,9.09325475192923,7.010471382788981e-14,0.1
compartment/air_temperature,compartment/screen_blackout/screen_position,9,f,8.901368334796816,1.545357874741756e-13,0.1
substrate_temperature_mean,energy/electricity_use.lighting,9,f,8.89995675259083,1.5543611550825767e-13,0.1
compartment/humidity_deficit,compartment/water_supply/water_flow_duration,9,f,8.869087708944086,1.7648748490346973e-13,0.1
energy/co2_dosage,compartment/air_temperature,9,f,8.175489920511863,3.029267065361093e-12,0.1
energy/electricity_use.lighting,substrate_temperature_mean,9,f,7.942742042335512,7.823701417220829e-12,0.1
compartment/humidity_deficit,compartment/par,9,f,7.655256837479481,2.5159448939535914e-11,0.1
compartment/screen_blackout/screen_position,compartment/par,9,f,7.538117558787132,4.0442239972303814e-11,0.1
energy/electricity_use.lighting,compartment/humidity_deficit,9,f,7.504125123276506,4.640760295551185e-11,0.1
compartment/screen_energy/screen_position,substrate_temperature_mean,9,f,7.421843507466979,6.473029396283012e-11,0.1
compartment/par,compartment/co2_concentration,9,f,7.2735693216782344,1.1778548994962727e-10,0.1
substrate_bulk_ec_mean,substrate_relative_permittivity_mean,9,f,7.149499998049608,1.9417067308668262e-10,0.1
substrate_bulk_ec_mean,substrate_temperature_mean,9,f,7.071625686685318,2.6560019113146294e-10,0.1
compartment/par,compartment/window_position_wind_side,9,f,6.82782479040468,7.063457391172294e-10,0.1
compartment/humidity_deficit,compartment/leaf_temperature,9,f,6.711587788144121,1.1243933980990334e-09,0.1
compartment/air_temperature,energy/co2_dosage,9,f,6.657460284887284,1.3957034473864762e-09,0.1
compartment/screen_energy/screen_position,compartment/screen_blackout/screen_position,9,f,6.461422051416997,3.0478813337005566e-09,0.1
substrate_temperature_mean,energy/co2_dosage,9,f,6.457127616105684,3.1003770420448025e-09,0.1
compartment/window_position_wind_side,compartment/air_temperature,9,f,6.326842667963627,5.201356330863366e-09,0.1
compartment/humidity_deficit,compartment/screen_blackout/screen_position,9,f,6.171120565804407,9.636245319745999e-09,0.1
substrate_bulk_ec_mean,delta_mass_7d,9,f,5.928330668804348,2.5097633499975166e-08,0.1
substrate_bulk_ec_mean,compartment/screen_energy/screen_position,9,f,5.895792445813866,2.8521580202072766e-08,0.1
compartment/window_position_lee_side,compartment/leaf_temperature,9,f,5.888759530222864,2.9320595581979647e-08,0.1
compartment/water_supply/water_flow_duration,delta_mass_7d,9,f,5.773797617836743,4.6028819582158585e-08,0.1
compartment/window_position_wind_side,compartment/window_position_lee_side,9,f,5.713700554435426,5.8236750916811456e-08,0.1
compartment/co2_concentration,compartment/screen_blackout/screen_position,9,f,5.401363564949447,1.9662266039085362e-07,0.1
delta_mass_7d,substrate_relative_permittivity_mean,9,f,5.339501517904391,2.498985641486786e-07,0.1
substrate_temperature_mean,compartment/window_position_lee_side,9,f,5.32938236301594,2.5988394300540934e-07,0.1
compartment/air_temperature,energy/electricity_use.lighting,9,f,5.215167763653577,4.040969729298012e-07,0.1
compartment/leaf_temperature,compartment/co2_concentration,9,f,5.2072819095266984,4.1657933603060395e-07,0.1
compartment/screen_blackout/screen_position,compartment/leaf_temperature,9,f,5.128832319539214,5.635862134407479e-07,0.1
substrate_relative_permittivity_mean,compartment/screen_energy/screen_position,9,f,4.948020515956165,1.1278609542935724e-06,0.1
substrate_bulk_ec_mean,compartment/par,9,f,4.942015124629076,1.1540694189381029e-06,0.1
delta_mass_7d,substrate_temperature_mean,9,f,4.880833758340082,1.4579833894325995e-06,0.1
substrate_temperature_mean,compartment/air_temperature,9,f,4.818881984334761,1.846429160119843e-06,0.1
energy/energy_use.heating,compartment/window_position_wind_side,9,f,4.806546727185302,1.9352214568708244e-06,0.1
compartment/leaf_temperature,compartment/window_position_lee_side,9,f,4.779008675315255,2.1489983221480026e-06,0.1
energy/electricity_use.lighting,energy/energy_use.heating,9,f,4.744962573816111,2.445868401545681e-06,0.1
compartment/leaf_temperature,compartment/window_position_wind_side,9,f,4.694430322071716,2.9628711030063387e-06,0.1
compartment/humidity_deficit,compartment/co2_concentration,9,f,4.694124261472523,2.9663110131665223e-06,0.1
compartment/window_position_lee_side,compartment/humidity_deficit,9,f,4.626173555611381,3.836651402708221e-06,0.1
compartment/air_temperature,compartment/par,9,f,4.6203052171512,3.922729734040611e-06,0.1
compartment/window_position_wind_side,compartment/co2_concentration,9,f,4.462585206817165,7.107760733116793e-06,0.1
substrate_temperature_mean,energy/energy_use.heating,9,f,4.375163235382975,9.865015823494615e-06,0.1
substrate_relative_permittivity_mean,compartment/par,9,f,4.368638346337148,1.0108857831120911e-05,0.1
substrate_temperature_mean,compartment/humidity_deficit,9,f,4.347057962676002,1.0958553377384805e-05,0.1
substrate_temperature_mean,compartment/window_position_wind_side,9,f,4.3402972792264904,1.1238987772191091e-05,0.1
substrate_temperature_mean,compartment/leaf_temperature,9,f,4.3256841236136045,1.1869601938188551e-05,0.1
compartment/co2_concentration,compartment/air_temperature,9,f,4.323396208557677,1.1971450341226203e-05,0.1
delta_mass_7d,compartment/par,9,f,4.114545355495501,2.6015389049217224e-05,0.1
delta_mass_7d,substrate_bulk_ec_mean,9,f,3.9391755626552603,4.9616356608951245e-05,0.1
energy/co2_dosage,compartment/par,9,f,3.928482869696749,5.1598620648823015e-05,0.1
compartment/screen_blackout/screen_position,compartment/window_position_lee_side,9,f,3.880888692576611,6.141089716697749e-05,0.1
substrate_temperature_mean,compartment/screen_energy/screen_position,9,f,3.8792196983100933,6.178644197182938e-05,0.1
energy/co2_dosage,compartment/leaf_temperature,9,f,3.822725092021638,7.592275563678792e-05,0.1
compartment/screen_energy/screen_position,compartment/window_position_lee_side,9,f,3.7667423038761365,9.305829457652997e-05,0.1
compartment/air_temperature,compartment/co2_concentration,9,f,3.759744467765875,9.545147079947726e-05,0.1
compartment/heating_lower_circuit/pipe_temperature,compartment/window_position_wind_side,9,f,3.71923855199004,0.00011054104221017513,0.1
substrate_relative_permittivity_mean,delta_mass_7d,9,f,3.7043341446513316,0.00011666438092783633,0.1
compartment/air_temperature,compartment/heating_lower_circuit/pipe_temperature,9,f,3.6722081813181737,0.00013101930457296606,0.1
substrate_temperature_mean,compartment/co2_concentration,9,f,3.5742281760573715,0.00018638520446032558,0.1
substrate_temperature_mean,compartment/heating_lower_circuit/pipe_temperature,9,f,3.5648212529064858,0.00019277783605750352,0.1
energy/electricity_use.lighting,compartment/heating_lower_circuit/pipe_temperature,9,f,3.5564576022079013,0.00019864189408779796,0.1
energy/co2_dosage,compartment/window_position_wind_side,9,f,3.4674575261517755,0.00027296056083744597,0.1
compartment/screen_energy/screen_position,compartment/par,9,f,3.4655729213858004,0.0002747980079058935,0.1
compartment/window_position_lee_side,substrate_temperature_mean,9,f,3.4462520656757736,0.00029434873429933796,0.1
compartment/screen_energy/screen_position,compartment/window_position_wind_side,9,f,3.3974328368488047,0.00035002534437785236,0.1
energy/co2_dosage,substrate_temperature_mean,9,f,3.375489517487774,0.00037829486218557564,0.1
substrate_bulk_ec_mean,compartment/water_supply/water_flow_duration,9,f,3.3521727204380247,0.0004107832194432206,0.1
compartment/screen_blackout/screen_position,compartment/water_supply/water_flow_duration,9,f,3.3140902847557596,0.00046980707594933047,0.1
compartment/co2_concentration,compartment/screen_energy/screen_position,9,f,3.253697844985286,0.0005808095002672474,0.1
compartment/co2_concentration,compartment/window_position_lee_side,9,f,3.253558774868996,0.0005810925718345648,0.1
compartment/window_position_wind_side,delta_mass_7d,9,f,3.201407314050707,0.0006973213302996778,0.1
delta_mass_7d,energy/co2_dosage,9,f,3.1432464629542918,0.0008537752725095774,0.1
compartment/co2_concentration,energy/energy_use.heating,9,f,3.084550615535684,0.0010462112271608635,0.1
compartment/co2_concentration,substrate_temperature_mean,9,f,3.008615689405957,0.0013587387689347717,0.1
energy/electricity_use.lighting,compartment/leaf_temperature,9,f,3.005903887176262,0.0013714348928588265,0.1
delta_mass_7d,energy/electricity_use.lighting,9,f,2.9739852272601124,0.001529819396615869,0.1
energy/energy_use.heating,compartment/screen_energy/screen_position,9,f,2.9501202587945325,0.0016597166170155679,0.1
compartment/par,energy/electricity_use.lighting,9,f,2.949567256613054,0.0016628501668268841,0.1
compartment/leaf_temperature,energy/co2_dosage,9,f,2.8968228025010605,0.0019896608484869364,0.1
compartment/co2_concentration,compartment/water_supply/water_flow_duration,9,f,2.8750661196833747,0.0021419160190470766,0.1
delta_mass_7d,compartment/window_position_wind_side,9,f,2.865511532122361,0.002212295298800356,0.1
energy/co2_dosage,compartment/humidity_deficit,9,f,2.8646515383428435,0.0022187388753734227,0.1
compartment/window_position_lee_side,compartment/window_position_wind_side,9,f,2.8123737169286267,0.002646512095355398,0.1
compartment/water_supply/water_flow_duration,compartment/window_position_wind_side,9,f,2.802135189872031,0.0027391734750705633,0.1
compartment/leaf_temperature,delta_mass_7d,9,f,2.796579577462081,0.002790759235007583,0.1
compartment/co2_concentration,substrate_bulk_ec_mean,9,f,2.7850085792161345,0.0029012344150317697,0.1
energy/electricity_use.lighting,compartment/window_position_lee_side,9,f,2.773409378863265,0.003016218615127529,0.1
energy/electricity_use.lighting,compartment/window_position_wind_side,9,f,2.7470564649632765,0.003294067135508875,0.1
compartment/humidity_deficit,energy/co2_dosage,9,f,2.7285616367130165,0.003503664946745636,0.1
substrate_temperature_mean,substrate_bulk_ec_mean,9,f,2.7140882257287555,0.003676613356178337,0.1
energy/electricity_use.lighting,energy/co2_dosage,9,f,2.6939109238533305,0.0039315264545964545,0.1
energy/electricity_use.lighting,compartment/water_supply/water_flow_duration,9,f,2.6301036566118814,0.00485475087526993,0.1
compartment/heating_lower_circuit/pipe_temperature,compartment/water_supply/water_flow_duration,9,f,2.62641542567432,0.004914057442325281,0.1
compartment/window_position_lee_side,delta_mass_7d,9,f,2.623383250523374,0.0049633362363126305,0.1
substrate_relative_permittivity_mean,compartment/air_temperature,9,f,2.6004420562227355,0.005351888807004469,0.1
compartment/leaf_temperature,compartment/screen_energy/screen_position,9,f,2.5535281060051975,0.00623947177604442,0.1
energy/co2_dosage,substrate_bulk_ec_mean,9,f,2.5498800709613825,0.006314119140491911,0.1
substrate_bulk_ec_mean,compartment/window_position_wind_side,9,f,2.502074061263517,0.007375048311453181,0.1
substrate_relative_permittivity_mean,compartment/window_position_wind_side,9,f,2.497000442988371,0.007497178179322284,0.1
compartment/water_supply/water_flow_duration,substrate_temperature_mean,9,f,2.464299264173189,0.008332044723099528,0.1
compartment/window_position_lee_side,compartment/screen_energy/screen_position,9,f,2.464026731248076,0.008339362539274125,0.1
substrate_bulk_ec_mean,compartment/air_temperature,9,f,2.39098655555389,0.010538343751044711,0.1
delta_mass_7d,compartment/window_position_lee_side,9,f,2.3865048348173747,0.010689889143161069,0.1
substrate_temperature_mean,delta_mass_7d,9,f,2.3660114661261167,0.011409684885605844,0.1
compartment/leaf_temperature,compartment/humidity_deficit,9,f,2.3260839479993534,0.01294654617692241,0.1
compartment/par,compartment/screen_energy/screen_position,9,f,2.299921569950718,0.014058056980354332,0.1
compartment/co2_concentration,substrate_relative_permittivity_mean,9,f,2.299695047136854,0.014068064697461628,0.1
compartment/par,delta_mass_7d,9,f,2.2507990435089,0.016393604074797327,0.1
compartment/window_position_wind_side,compartment/screen_energy/screen_position,9,f,2.215888184667701,0.01827148386257235,0.1
compartment/co2_concentration,compartment/window_position_wind_side,9,f,2.1962694381788146,0.019414017548265616,0.1
substrate_bulk_ec_mean,compartment/leaf_temperature,9,f,2.158809732939725,0.02178474313741872,0.1
compartment/par,substrate_bulk_ec_mean,9,f,2.1505961398228557,0.022339711544107008,0.1
compartment/window_position_wind_side,compartment/screen_blackout/screen_position,9,f,2.1190205893834633,0.02459909154104605,0.1
substrate_temperature_mean,compartment/screen_blackout/screen_position,9,f,2.1046077183861644,0.025700015352235928,0.1
compartment/heating_lower_circuit/pipe_temperature,compartment/screen_blackout/screen_position,9,f,2.096414495923068,0.02634622602810653,0.1
compartment/leaf_temperature,energy/electricity_use.lighting,9,f,2.0908924052279323,0.026790293427442935,0.1
energy/co2_dosage,substrate_relative_permittivity_mean,9,f,2.067484299979154,0.02875143089578741,0.1
substrate_relative_permittivity_mean,energy/electricity_use.lighting,9,f,2.0263281669351207,0.032527325251843216,0.1
substrate_temperature_mean,substrate_relative_permittivity_mean,9,f,2.006249111663968,0.034532215994375365,0.1
energy/electricity_use.lighting,substrate_bulk_ec_mean,9,f,2.002179937514365,0.034952238168154584,0.1
substrate_relative_permittivity_mean,energy/energy_use.heating,9,f,2.0014618452510993,0.03502684962396181,0.1
compartment/screen_energy/screen_position,compartment/heating_lower_circuit/pipe_temperature,9,f,1.9939645813446265,0.035814693038832876,0.1
substrate_bulk_ec_mean,energy/energy_use.heating,9,f,1.9834561501572412,0.036946596899213084,0.1
compartment/co2_concentration,compartment/par,9,f,1.9786223305101467,0.037478298856712125,0.1
compartment/heating_lower_circuit/pipe_temperature,compartment/screen_energy/screen_position,9,f,1.9720100727464585,0.03821708135701784,0.1
compartment/window_position_lee_side,energy/electricity_use.lighting,9,f,1.9618237050451066,0.039381556753078646,0.1
compartment/water_supply/water_flow_duration,compartment/par,9,f,1.9592180432567017,0.03968464289638174,0.1
delta_mass_7d,compartment/air_temperature,9,f,1.940922810268522,0.04187402986640348,0.1
energy/energy_use.heating,compartment/co2_concentration,9,f,1.8454257060212376,0.055212735563413065,0.1
energy/co2_dosage,compartment/window_position_lee_side,9,f,1.8016718896289463,0.06253162980435252,0.1
delta_mass_7d,compartment/leaf_temperature,9,f,1.799582025381306,0.06290224330407553,0.1
substrate_temperature_mean,compartment/water_supply/water_flow_duration,9,f,1.7956636955746492,0.06360246879971684,0.1
delta_mass_7d,compartment/co2_concentration,9,f,1.7853457052822281,0.0654801450520863,0.1
compartment/water_supply/water_flow_duration,compartment/screen_blackout/screen_position,9,f,1.7816358839840756,0.06616738823506954,0.1
compartment/window_position_wind_side,substrate_temperature_mean,9,f,1.7798721439030938,0.06649639519665021,0.1
substrate_relative_permittivity_mean,compartment/water_supply/water_flow_duration,9,f,1.7677456982196134,0.0687986342717607,0.1
compartment/window_position_lee_side,compartment/screen_blackout/screen_position,9,f,1.7568403198564688,0.07093000669386454,0.1
compartment/screen_blackout/screen_position,substrate_temperature_mean,9,f,1.714664372120485,0.07974119508414142,0.1
compartment/co2_concentration,compartment/heating_lower_circuit/pipe_temperature,9,f,1.6957810309040937,0.08399333864391396,0.1
compartment/par,substrate_relative_permittivity_mean,9,f,1.692607450693962,0.08472741020395316,0.1
substrate_bulk_ec_mean,compartment/humidity_deficit,9,f,1.6904984526716689,0.08521838000131725,0.1
delta_mass_7d,compartment/screen_blackout/screen_position,9,f,1.6869055126077908,0.08606062180979157,0.1
substrate_relative_permittivity_mean,compartment/window_position_lee_side,9,f,1.6756828654491993,0.0887390856709776,0.1
compartment/screen_energy/screen_position,delta_mass_7d,9,f,1.6348985821734496,0.09910315533906824,0.1
