sensor_scenario,event_q,deltaT_threshold,model,algorithm,horizon_min,roc_auc_mean_std,pr_auc_mean_std,f1_mean_std,top10_alert_precision_mean_std,positive_rate,n_folds,n_samples
clean,0.85,3.1400000000000006,DT-proxy base,Logistic,10,0.920 ± 0.045,0.703 ± 0.126,0.651 ± 0.087,0.676 ± 0.250,0.15134357005758156,5,10420
clean,0.85,3.1400000000000006,DT-proxy base,RF,10,0.928 ± 0.043,0.724 ± 0.110,0.665 ± 0.090,0.699 ± 0.250,0.15134357005758156,5,10420
clean,0.85,3.1400000000000006,DT-proxy base,XGBoost,10,0.926 ± 0.045,0.717 ± 0.124,0.665 ± 0.092,0.682 ± 0.246,0.15134357005758156,5,10420
clean,0.85,3.1400000000000006,Causal-parents,Logistic,10,0.930 ± 0.043,0.710 ± 0.139,0.632 ± 0.103,0.673 ± 0.251,0.15134357005758156,5,10420
clean,0.85,3.1400000000000006,Causal-parents,RF,10,0.917 ± 0.046,0.709 ± 0.136,0.650 ± 0.081,0.702 ± 0.260,0.15134357005758156,5,10420
clean,0.85,3.1400000000000006,Causal-parents,XGBoost,10,0.917 ± 0.054,0.710 ± 0.150,0.639 ± 0.103,0.693 ± 0.258,0.15134357005758156,5,10420
clean,0.85,3.1400000000000006,Causal+Lagged Controls,Logistic,10,0.912 ± 0.080,0.699 ± 0.157,0.612 ± 0.115,0.687 ± 0.244,0.15134357005758156,5,10420
clean,0.85,3.1400000000000006,Causal+Lagged Controls,RF,10,0.906 ± 0.056,0.674 ± 0.175,0.601 ± 0.108,0.707 ± 0.256,0.15134357005758156,5,10420
clean,0.85,3.1400000000000006,Causal+Lagged Controls,XGBoost,10,0.919 ± 0.063,0.690 ± 0.167,0.609 ± 0.134,0.688 ± 0.248,0.15134357005758156,5,10420
clean,0.85,3.1400000000000006,DT-proxy base,Logistic,30,0.841 ± 0.052,0.516 ± 0.158,0.513 ± 0.099,0.542 ± 0.217,0.15145108591197387,5,10406
clean,0.85,3.1400000000000006,DT-proxy base,RF,30,0.838 ± 0.053,0.514 ± 0.169,0.500 ± 0.095,0.522 ± 0.210,0.15145108591197387,5,10406
clean,0.85,3.1400000000000006,DT-proxy base,XGBoost,30,0.844 ± 0.058,0.514 ± 0.166,0.490 ± 0.111,0.522 ± 0.209,0.15145108591197387,5,10406
clean,0.85,3.1400000000000006,Causal-parents,Logistic,30,0.863 ± 0.049,0.529 ± 0.190,0.483 ± 0.113,0.537 ± 0.235,0.15145108591197387,5,10406
clean,0.85,3.1400000000000006,Causal-parents,RF,30,0.845 ± 0.049,0.538 ± 0.179,0.428 ± 0.115,0.576 ± 0.241,0.15145108591197387,5,10406
clean,0.85,3.1400000000000006,Causal-parents,XGBoost,30,0.852 ± 0.054,0.555 ± 0.185,0.475 ± 0.115,0.588 ± 0.245,0.15145108591197387,5,10406
clean,0.85,3.1400000000000006,Causal+Lagged Controls,Logistic,30,0.846 ± 0.087,0.534 ± 0.187,0.472 ± 0.151,0.547 ± 0.226,0.15145108591197387,5,10406
clean,0.85,3.1400000000000006,Causal+Lagged Controls,RF,30,0.830 ± 0.067,0.532 ± 0.204,0.400 ± 0.156,0.574 ± 0.234,0.15145108591197387,5,10406
clean,0.85,3.1400000000000006,Causal+Lagged Controls,XGBoost,30,0.842 ± 0.075,0.530 ± 0.235,0.445 ± 0.179,0.540 ± 0.239,0.15145108591197387,5,10406
clean,0.85,3.1400000000000006,DT-proxy base,Logistic,60,0.763 ± 0.036,0.378 ± 0.135,0.392 ± 0.118,0.428 ± 0.187,0.15164644714038128,5,10386
clean,0.85,3.1400000000000006,DT-proxy base,RF,60,0.756 ± 0.045,0.376 ± 0.136,0.358 ± 0.116,0.400 ± 0.164,0.15164644714038128,5,10386
clean,0.85,3.1400000000000006,DT-proxy base,XGBoost,60,0.763 ± 0.042,0.371 ± 0.135,0.376 ± 0.104,0.405 ± 0.168,0.15164644714038128,5,10386
clean,0.85,3.1400000000000006,Causal-parents,Logistic,60,0.811 ± 0.034,0.408 ± 0.173,0.352 ± 0.137,0.419 ± 0.214,0.15164644714038128,5,10386
clean,0.85,3.1400000000000006,Causal-parents,RF,60,0.777 ± 0.026,0.382 ± 0.184,0.298 ± 0.171,0.424 ± 0.189,0.15164644714038128,5,10386
clean,0.85,3.1400000000000006,Causal-parents,XGBoost,60,0.777 ± 0.048,0.390 ± 0.185,0.317 ± 0.139,0.435 ± 0.204,0.15164644714038128,5,10386
clean,0.85,3.1400000000000006,Causal+Lagged Controls,Logistic,60,0.782 ± 0.089,0.392 ± 0.188,0.371 ± 0.131,0.427 ± 0.188,0.15164644714038128,5,10386
clean,0.85,3.1400000000000006,Causal+Lagged Controls,RF,60,0.788 ± 0.086,0.429 ± 0.211,0.233 ± 0.156,0.469 ± 0.204,0.15164644714038128,5,10386
clean,0.85,3.1400000000000006,Causal+Lagged Controls,XGBoost,60,0.778 ± 0.095,0.403 ± 0.210,0.311 ± 0.143,0.436 ± 0.205,0.15164644714038128,5,10386
clean,0.85,3.1400000000000006,DT-proxy base,Logistic,120,0.710 ± 0.040,0.264 ± 0.113,0.333 ± 0.128,0.300 ± 0.174,0.1518926226342217,5,10356
clean,0.85,3.1400000000000006,DT-proxy base,RF,120,0.689 ± 0.040,0.254 ± 0.140,0.233 ± 0.095,0.294 ± 0.170,0.1518926226342217,5,10356
clean,0.85,3.1400000000000006,DT-proxy base,XGBoost,120,0.698 ± 0.040,0.259 ± 0.137,0.302 ± 0.104,0.305 ± 0.163,0.1518926226342217,5,10356
clean,0.85,3.1400000000000006,Causal-parents,Logistic,120,0.816 ± 0.048,0.356 ± 0.158,0.280 ± 0.170,0.390 ± 0.206,0.1518926226342217,5,10356
clean,0.85,3.1400000000000006,Causal-parents,RF,120,0.771 ± 0.073,0.327 ± 0.153,0.201 ± 0.147,0.355 ± 0.169,0.1518926226342217,5,10356
clean,0.85,3.1400000000000006,Causal-parents,XGBoost,120,0.787 ± 0.051,0.345 ± 0.153,0.230 ± 0.162,0.390 ± 0.188,0.1518926226342217,5,10356
clean,0.85,3.1400000000000006,Causal+Lagged Controls,Logistic,120,0.765 ± 0.104,0.335 ± 0.168,0.300 ± 0.140,0.382 ± 0.202,0.1518926226342217,5,10356
clean,0.85,3.1400000000000006,Causal+Lagged Controls,RF,120,0.794 ± 0.056,0.367 ± 0.165,0.193 ± 0.167,0.395 ± 0.196,0.1518926226342217,5,10356
clean,0.85,3.1400000000000006,Causal+Lagged Controls,XGBoost,120,0.780 ± 0.078,0.343 ± 0.170,0.226 ± 0.170,0.373 ± 0.209,0.1518926226342217,5,10356
clean,0.9,3.3800000000000026,DT-proxy base,Logistic,10,0.932 ± 0.050,0.640 ± 0.144,0.618 ± 0.084,0.543 ± 0.230,0.10057581573896353,5,10420
clean,0.9,3.3800000000000026,DT-proxy base,RF,10,0.942 ± 0.031,0.682 ± 0.114,0.640 ± 0.083,0.558 ± 0.229,0.10057581573896353,5,10420
clean,0.9,3.3800000000000026,DT-proxy base,XGBoost,10,0.945 ± 0.037,0.665 ± 0.140,0.626 ± 0.108,0.563 ± 0.236,0.10057581573896353,5,10420
clean,0.9,3.3800000000000026,Causal-parents,Logistic,10,0.934 ± 0.039,0.633 ± 0.200,0.551 ± 0.141,0.536 ± 0.257,0.10057581573896353,5,10420
clean,0.9,3.3800000000000026,Causal-parents,RF,10,0.930 ± 0.040,0.650 ± 0.132,0.562 ± 0.084,0.555 ± 0.236,0.10057581573896353,5,10420
clean,0.9,3.3800000000000026,Causal-parents,XGBoost,10,0.930 ± 0.043,0.668 ± 0.123,0.588 ± 0.069,0.545 ± 0.231,0.10057581573896353,5,10420
clean,0.9,3.3800000000000026,Causal+Lagged Controls,Logistic,10,0.910 ± 0.073,0.600 ± 0.232,0.530 ± 0.205,0.522 ± 0.258,0.10057581573896353,5,10420
clean,0.9,3.3800000000000026,Causal+Lagged Controls,RF,10,0.920 ± 0.045,0.618 ± 0.158,0.422 ± 0.179,0.531 ± 0.232,0.10057581573896353,5,10420
clean,0.9,3.3800000000000026,Causal+Lagged Controls,XGBoost,10,0.933 ± 0.051,0.642 ± 0.143,0.509 ± 0.122,0.527 ± 0.226,0.10057581573896353,5,10420
clean,0.9,3.3800000000000026,DT-proxy base,Logistic,30,0.848 ± 0.065,0.426 ± 0.180,0.419 ± 0.120,0.413 ± 0.193,0.10061502979050548,5,10406
clean,0.9,3.3800000000000026,DT-proxy base,RF,30,0.853 ± 0.043,0.423 ± 0.184,0.424 ± 0.120,0.412 ± 0.197,0.10061502979050548,5,10406
clean,0.9,3.3800000000000026,DT-proxy base,XGBoost,30,0.854 ± 0.053,0.417 ± 0.190,0.430 ± 0.124,0.413 ± 0.194,0.10061502979050548,5,10406
clean,0.9,3.3800000000000026,Causal-parents,Logistic,30,0.856 ± 0.057,0.435 ± 0.250,0.355 ± 0.222,0.397 ± 0.260,0.10061502979050548,5,10406
clean,0.9,3.3800000000000026,Causal-parents,RF,30,0.848 ± 0.050,0.428 ± 0.205,0.280 ± 0.170,0.410 ± 0.212,0.10061502979050548,5,10406
clean,0.9,3.3800000000000026,Causal-parents,XGBoost,30,0.847 ± 0.059,0.460 ± 0.202,0.339 ± 0.107,0.423 ± 0.214,0.10061502979050548,5,10406
clean,0.9,3.3800000000000026,Causal+Lagged Controls,Logistic,30,0.826 ± 0.098,0.432 ± 0.275,0.370 ± 0.227,0.401 ± 0.260,0.10061502979050548,5,10406
clean,0.9,3.3800000000000026,Causal+Lagged Controls,RF,30,0.840 ± 0.064,0.439 ± 0.225,0.257 ± 0.151,0.441 ± 0.220,0.10061502979050548,5,10406
clean,0.9,3.3800000000000026,Causal+Lagged Controls,XGBoost,30,0.843 ± 0.078,0.421 ± 0.252,0.340 ± 0.188,0.406 ± 0.210,0.10061502979050548,5,10406
clean,0.9,3.3800000000000026,DT-proxy base,Logistic,60,0.759 ± 0.055,0.282 ± 0.127,0.307 ± 0.116,0.312 ± 0.167,0.10080878105141537,5,10386
clean,0.9,3.3800000000000026,DT-proxy base,RF,60,0.743 ± 0.059,0.279 ± 0.162,0.286 ± 0.126,0.285 ± 0.167,0.10080878105141537,5,10386
clean,0.9,3.3800000000000026,DT-proxy base,XGBoost,60,0.753 ± 0.060,0.279 ± 0.162,0.293 ± 0.135,0.294 ± 0.169,0.10080878105141537,5,10386
clean,0.9,3.3800000000000026,Causal-parents,Logistic,60,0.790 ± 0.055,0.313 ± 0.202,0.239 ± 0.199,0.301 ± 0.237,0.10080878105141537,5,10386
clean,0.9,3.3800000000000026,Causal-parents,RF,60,0.746 ± 0.077,0.268 ± 0.177,0.153 ± 0.160,0.294 ± 0.171,0.10080878105141537,5,10386
clean,0.9,3.3800000000000026,Causal-parents,XGBoost,60,0.747 ± 0.085,0.271 ± 0.186,0.184 ± 0.140,0.281 ± 0.175,0.10080878105141537,5,10386
clean,0.9,3.3800000000000026,Causal+Lagged Controls,Logistic,60,0.746 ± 0.124,0.302 ± 0.210,0.272 ± 0.175,0.290 ± 0.202,0.10080878105141537,5,10386
clean,0.9,3.3800000000000026,Causal+Lagged Controls,RF,60,0.753 ± 0.108,0.297 ± 0.210,0.100 ± 0.138,0.319 ± 0.201,0.10080878105141537,5,10386
clean,0.9,3.3800000000000026,Causal+Lagged Controls,XGBoost,60,0.733 ± 0.122,0.270 ± 0.209,0.175 ± 0.184,0.283 ± 0.205,0.10080878105141537,5,10386
clean,0.9,3.3800000000000026,DT-proxy base,Logistic,120,0.714 ± 0.067,0.186 ± 0.076,0.232 ± 0.102,0.215 ± 0.147,0.10119737350328312,5,10356
clean,0.9,3.3800000000000026,DT-proxy base,RF,120,0.683 ± 0.054,0.178 ± 0.116,0.153 ± 0.124,0.194 ± 0.141,0.10119737350328312,5,10356
clean,0.9,3.3800000000000026,DT-proxy base,XGBoost,120,0.701 ± 0.047,0.185 ± 0.115,0.186 ± 0.109,0.197 ± 0.141,0.10119737350328312,5,10356
clean,0.9,3.3800000000000026,Causal-parents,Logistic,120,0.809 ± 0.066,0.275 ± 0.165,0.160 ± 0.166,0.290 ± 0.225,0.10119737350328312,5,10356
clean,0.9,3.3800000000000026,Causal-parents,RF,120,0.767 ± 0.043,0.232 ± 0.146,0.130 ± 0.127,0.237 ± 0.174,0.10119737350328312,5,10356
clean,0.9,3.3800000000000026,Causal-parents,XGBoost,120,0.787 ± 0.052,0.271 ± 0.176,0.160 ± 0.136,0.281 ± 0.210,0.10119737350328312,5,10356
clean,0.9,3.3800000000000026,Causal+Lagged Controls,Logistic,120,0.751 ± 0.114,0.258 ± 0.192,0.183 ± 0.186,0.258 ± 0.218,0.10119737350328312,5,10356
clean,0.9,3.3800000000000026,Causal+Lagged Controls,RF,120,0.784 ± 0.066,0.264 ± 0.185,0.090 ± 0.124,0.249 ± 0.192,0.10119737350328312,5,10356
clean,0.9,3.3800000000000026,Causal+Lagged Controls,XGBoost,120,0.753 ± 0.085,0.245 ± 0.185,0.126 ± 0.197,0.256 ± 0.217,0.10119737350328312,5,10356
clean,0.95,3.8100000000000023,DT-proxy base,Logistic,10,0.951 ± 0.044,0.566 ± 0.186,0.527 ± 0.155,0.315 ± 0.200,0.05047984644913628,5,10420
clean,0.95,3.8100000000000023,DT-proxy base,RF,10,0.964 ± 0.019,0.585 ± 0.219,0.541 ± 0.204,0.327 ± 0.215,0.05047984644913628,5,10420
clean,0.95,3.8100000000000023,DT-proxy base,XGBoost,10,0.963 ± 0.027,0.575 ± 0.225,0.516 ± 0.189,0.315 ± 0.199,0.05047984644913628,5,10420
clean,0.95,3.8100000000000023,Causal-parents,Logistic,10,0.938 ± 0.058,0.560 ± 0.293,0.336 ± 0.278,0.306 ± 0.235,0.05047984644913628,5,10420
clean,0.95,3.8100000000000023,Causal-parents,RF,10,0.946 ± 0.019,0.535 ± 0.235,0.404 ± 0.189,0.316 ± 0.221,0.05047984644913628,5,10420
clean,0.95,3.8100000000000023,Causal-parents,XGBoost,10,0.957 ± 0.016,0.546 ± 0.203,0.407 ± 0.199,0.322 ± 0.217,0.05047984644913628,5,10420
clean,0.95,3.8100000000000023,Causal+Lagged Controls,Logistic,10,0.900 ± 0.087,0.512 ± 0.332,0.311 ± 0.253,0.301 ± 0.240,0.05047984644913628,5,10420
clean,0.95,3.8100000000000023,Causal+Lagged Controls,RF,10,0.952 ± 0.012,0.514 ± 0.207,0.309 ± 0.216,0.325 ± 0.214,0.05047984644913628,5,10420
clean,0.95,3.8100000000000023,Causal+Lagged Controls,XGBoost,10,0.950 ± 0.016,0.506 ± 0.209,0.367 ± 0.205,0.318 ± 0.211,0.05047984644913628,5,10420
clean,0.95,3.8100000000000023,DT-proxy base,Logistic,30,0.870 ± 0.074,0.345 ± 0.213,0.339 ± 0.201,0.253 ± 0.160,0.05045166250240246,5,10406
clean,0.95,3.8100000000000023,DT-proxy base,RF,30,0.880 ± 0.016,0.335 ± 0.235,0.353 ± 0.201,0.255 ± 0.176,0.05045166250240246,5,10406
clean,0.95,3.8100000000000023,DT-proxy base,XGBoost,30,0.883 ± 0.034,0.332 ± 0.216,0.332 ± 0.211,0.247 ± 0.162,0.05045166250240246,5,10406
clean,0.95,3.8100000000000023,Causal-parents,Logistic,30,0.833 ± 0.128,0.357 ± 0.308,0.197 ± 0.257,0.255 ± 0.221,0.05045166250240246,5,10406
clean,0.95,3.8100000000000023,Causal-parents,RF,30,0.865 ± 0.056,0.311 ± 0.238,0.137 ± 0.168,0.262 ± 0.201,0.05045166250240246,5,10406
clean,0.95,3.8100000000000023,Causal-parents,XGBoost,30,0.874 ± 0.048,0.323 ± 0.246,0.143 ± 0.188,0.253 ± 0.192,0.05045166250240246,5,10406
clean,0.95,3.8100000000000023,Causal+Lagged Controls,Logistic,30,0.790 ± 0.169,0.354 ± 0.316,0.183 ± 0.212,0.249 ± 0.210,0.05045166250240246,5,10406
clean,0.95,3.8100000000000023,Causal+Lagged Controls,RF,30,0.847 ± 0.073,0.308 ± 0.253,0.112 ± 0.153,0.250 ± 0.189,0.05045166250240246,5,10406
clean,0.95,3.8100000000000023,Causal+Lagged Controls,XGBoost,30,0.839 ± 0.095,0.278 ± 0.241,0.182 ± 0.185,0.231 ± 0.176,0.05045166250240246,5,10406
clean,0.95,3.8100000000000023,DT-proxy base,Logistic,60,0.737 ± 0.119,0.175 ± 0.129,0.202 ± 0.159,0.168 ± 0.120,0.05054881571346043,5,10386
clean,0.95,3.8100000000000023,DT-proxy base,RF,60,0.726 ± 0.108,0.175 ± 0.146,0.159 ± 0.157,0.167 ± 0.138,0.05054881571346043,5,10386
clean,0.95,3.8100000000000023,DT-proxy base,XGBoost,60,0.731 ± 0.114,0.165 ± 0.128,0.175 ± 0.137,0.159 ± 0.124,0.05054881571346043,5,10386
clean,0.95,3.8100000000000023,Causal-parents,Logistic,60,0.723 ± 0.154,0.217 ± 0.213,0.127 ± 0.198,0.185 ± 0.180,0.05054881571346043,5,10386
clean,0.95,3.8100000000000023,Causal-parents,RF,60,0.717 ± 0.109,0.159 ± 0.158,0.082 ± 0.113,0.136 ± 0.118,0.05054881571346043,5,10386
clean,0.95,3.8100000000000023,Causal-parents,XGBoost,60,0.734 ± 0.097,0.167 ± 0.157,0.105 ± 0.145,0.145 ± 0.126,0.05054881571346043,5,10386
clean,0.95,3.8100000000000023,Causal+Lagged Controls,Logistic,60,0.725 ± 0.186,0.206 ± 0.200,0.154 ± 0.189,0.181 ± 0.160,0.05054881571346043,5,10386
clean,0.95,3.8100000000000023,Causal+Lagged Controls,RF,60,0.719 ± 0.155,0.165 ± 0.165,0.052 ± 0.104,0.134 ± 0.116,0.05054881571346043,5,10386
clean,0.95,3.8100000000000023,Causal+Lagged Controls,XGBoost,60,0.689 ± 0.160,0.148 ± 0.163,0.093 ± 0.153,0.116 ± 0.109,0.05054881571346043,5,10386
clean,0.95,3.8100000000000023,DT-proxy base,Logistic,120,0.668 ± 0.106,0.068 ± 0.038,0.114 ± 0.089,0.086 ± 0.071,0.050888373889532636,5,10356
clean,0.95,3.8100000000000023,DT-proxy base,RF,120,0.617 ± 0.135,0.098 ± 0.078,0.065 ± 0.053,0.106 ± 0.101,0.050888373889532636,5,10356
clean,0.95,3.8100000000000023,DT-proxy base,XGBoost,120,0.625 ± 0.109,0.092 ± 0.072,0.073 ± 0.081,0.090 ± 0.090,0.050888373889532636,5,10356
clean,0.95,3.8100000000000023,Causal-parents,Logistic,120,0.797 ± 0.067,0.190 ± 0.151,0.076 ± 0.130,0.176 ± 0.160,0.050888373889532636,5,10356
clean,0.95,3.8100000000000023,Causal-parents,RF,120,0.741 ± 0.049,0.123 ± 0.126,0.038 ± 0.060,0.103 ± 0.116,0.050888373889532636,5,10356
clean,0.95,3.8100000000000023,Causal-parents,XGBoost,120,0.775 ± 0.051,0.144 ± 0.139,0.070 ± 0.076,0.136 ± 0.144,0.050888373889532636,5,10356
clean,0.95,3.8100000000000023,Causal+Lagged Controls,Logistic,120,0.733 ± 0.116,0.149 ± 0.185,0.129 ± 0.192,0.110 ± 0.145,0.050888373889532636,5,10356
clean,0.95,3.8100000000000023,Causal+Lagged Controls,RF,120,0.776 ± 0.104,0.158 ± 0.189,0.056 ± 0.102,0.117 ± 0.145,0.050888373889532636,5,10356
clean,0.95,3.8100000000000023,Causal+Lagged Controls,XGBoost,120,0.749 ± 0.069,0.158 ± 0.176,0.079 ± 0.104,0.131 ± 0.149,0.050888373889532636,5,10356
noise_5,0.85,3.1758386827288914,DT-proxy base,Logistic,10,0.910 ± 0.053,0.672 ± 0.125,0.628 ± 0.069,0.646 ± 0.212,0.15009596928982727,5,10420
noise_5,0.85,3.1758386827288914,DT-proxy base,RF,10,0.901 ± 0.050,0.656 ± 0.138,0.618 ± 0.081,0.648 ± 0.217,0.15009596928982727,5,10420
noise_5,0.85,3.1758386827288914,DT-proxy base,XGBoost,10,0.908 ± 0.048,0.660 ± 0.138,0.612 ± 0.087,0.638 ± 0.216,0.15009596928982727,5,10420
noise_5,0.85,3.1758386827288914,Causal-parents,Logistic,10,0.918 ± 0.048,0.673 ± 0.144,0.606 ± 0.085,0.646 ± 0.213,0.15009596928982727,5,10420
noise_5,0.85,3.1758386827288914,Causal-parents,RF,10,0.904 ± 0.047,0.664 ± 0.132,0.568 ± 0.100,0.668 ± 0.225,0.15009596928982727,5,10420
noise_5,0.85,3.1758386827288914,Causal-parents,XGBoost,10,0.904 ± 0.052,0.671 ± 0.148,0.581 ± 0.099,0.666 ± 0.226,0.15009596928982727,5,10420
noise_5,0.85,3.1758386827288914,Causal+Lagged Controls,Logistic,10,0.898 ± 0.082,0.645 ± 0.170,0.582 ± 0.106,0.650 ± 0.215,0.15009596928982727,5,10420
noise_5,0.85,3.1758386827288914,Causal+Lagged Controls,RF,10,0.894 ± 0.053,0.633 ± 0.158,0.523 ± 0.113,0.647 ± 0.205,0.15009596928982727,5,10420
noise_5,0.85,3.1758386827288914,Causal+Lagged Controls,XGBoost,10,0.905 ± 0.060,0.641 ± 0.168,0.578 ± 0.125,0.657 ± 0.212,0.15009596928982727,5,10420
noise_5,0.85,3.1758386827288914,DT-proxy base,Logistic,30,0.836 ± 0.061,0.492 ± 0.152,0.487 ± 0.093,0.513 ± 0.181,0.15020180665000962,5,10406
noise_5,0.85,3.1758386827288914,DT-proxy base,RF,30,0.815 ± 0.055,0.461 ± 0.166,0.475 ± 0.099,0.510 ± 0.183,0.15020180665000962,5,10406
noise_5,0.85,3.1758386827288914,DT-proxy base,XGBoost,30,0.824 ± 0.057,0.471 ± 0.165,0.483 ± 0.100,0.508 ± 0.189,0.15020180665000962,5,10406
noise_5,0.85,3.1758386827288914,Causal-parents,Logistic,30,0.856 ± 0.050,0.499 ± 0.193,0.454 ± 0.100,0.501 ± 0.214,0.15020180665000962,5,10406
noise_5,0.85,3.1758386827288914,Causal-parents,RF,30,0.836 ± 0.043,0.506 ± 0.171,0.414 ± 0.104,0.537 ± 0.201,0.15020180665000962,5,10406
noise_5,0.85,3.1758386827288914,Causal-parents,XGBoost,30,0.834 ± 0.056,0.515 ± 0.191,0.450 ± 0.129,0.537 ± 0.211,0.15020180665000962,5,10406
noise_5,0.85,3.1758386827288914,Causal+Lagged Controls,Logistic,30,0.836 ± 0.086,0.493 ± 0.203,0.444 ± 0.137,0.521 ± 0.213,0.15020180665000962,5,10406
noise_5,0.85,3.1758386827288914,Causal+Lagged Controls,RF,30,0.823 ± 0.058,0.504 ± 0.200,0.373 ± 0.115,0.546 ± 0.207,0.15020180665000962,5,10406
noise_5,0.85,3.1758386827288914,Causal+Lagged Controls,XGBoost,30,0.830 ± 0.071,0.486 ± 0.215,0.398 ± 0.138,0.517 ± 0.210,0.15020180665000962,5,10406
noise_5,0.85,3.1758386827288914,DT-proxy base,Logistic,60,0.753 ± 0.039,0.361 ± 0.134,0.379 ± 0.107,0.403 ± 0.172,0.1503947621798575,5,10386
noise_5,0.85,3.1758386827288914,DT-proxy base,RF,60,0.736 ± 0.041,0.342 ± 0.143,0.357 ± 0.103,0.397 ± 0.167,0.1503947621798575,5,10386
noise_5,0.85,3.1758386827288914,DT-proxy base,XGBoost,60,0.748 ± 0.041,0.346 ± 0.130,0.367 ± 0.105,0.391 ± 0.145,0.1503947621798575,5,10386
noise_5,0.85,3.1758386827288914,Causal-parents,Logistic,60,0.800 ± 0.038,0.387 ± 0.184,0.347 ± 0.154,0.401 ± 0.215,0.1503947621798575,5,10386
noise_5,0.85,3.1758386827288914,Causal-parents,RF,60,0.767 ± 0.031,0.364 ± 0.158,0.288 ± 0.148,0.403 ± 0.179,0.1503947621798575,5,10386
noise_5,0.85,3.1758386827288914,Causal-parents,XGBoost,60,0.768 ± 0.049,0.374 ± 0.169,0.320 ± 0.141,0.410 ± 0.187,0.1503947621798575,5,10386
noise_5,0.85,3.1758386827288914,Causal+Lagged Controls,Logistic,60,0.775 ± 0.088,0.382 ± 0.185,0.368 ± 0.122,0.421 ± 0.183,0.1503947621798575,5,10386
noise_5,0.85,3.1758386827288914,Causal+Lagged Controls,RF,60,0.783 ± 0.059,0.409 ± 0.189,0.238 ± 0.145,0.468 ± 0.183,0.1503947621798575,5,10386
