sensor_scenario,event_q,deltaT_threshold,model,algorithm,horizon_min,roc_auc_mean_std,pr_auc_mean_std,f1_mean_std,top10_alert_precision_mean_std,positive_rate,n_folds,n_samples
noise_10,0.9,3.4677307327360563,Causal+Lagged Controls,RF,30,0.803 ± 0.071,0.372 ± 0.220,0.224 ± 0.168,0.378 ± 0.205,0.09994234095714011,5,10406
noise_10,0.9,3.4677307327360563,Causal+Lagged Controls,XGBoost,30,0.804 ± 0.090,0.371 ± 0.228,0.285 ± 0.161,0.368 ± 0.189,0.09994234095714011,5,10406
noise_10,0.9,3.4677307327360563,DT-proxy base,Logistic,60,0.730 ± 0.057,0.259 ± 0.139,0.278 ± 0.121,0.273 ± 0.151,0.10003851338340074,5,10386
noise_10,0.9,3.4677307327360563,DT-proxy base,RF,60,0.700 ± 0.052,0.235 ± 0.124,0.268 ± 0.121,0.260 ± 0.119,0.10003851338340074,5,10386
noise_10,0.9,3.4677307327360563,DT-proxy base,XGBoost,60,0.702 ± 0.064,0.238 ± 0.127,0.265 ± 0.130,0.251 ± 0.141,0.10003851338340074,5,10386
noise_10,0.9,3.4677307327360563,Causal-parents,Logistic,60,0.767 ± 0.058,0.294 ± 0.191,0.237 ± 0.179,0.290 ± 0.202,0.10003851338340074,5,10386
noise_10,0.9,3.4677307327360563,Causal-parents,RF,60,0.757 ± 0.042,0.259 ± 0.154,0.141 ± 0.137,0.283 ± 0.167,0.10003851338340074,5,10386
noise_10,0.9,3.4677307327360563,Causal-parents,XGBoost,60,0.753 ± 0.063,0.279 ± 0.177,0.232 ± 0.141,0.285 ± 0.168,0.10003851338340074,5,10386
noise_10,0.9,3.4677307327360563,Causal+Lagged Controls,Logistic,60,0.739 ± 0.105,0.289 ± 0.199,0.260 ± 0.188,0.274 ± 0.185,0.10003851338340074,5,10386
noise_10,0.9,3.4677307327360563,Causal+Lagged Controls,RF,60,0.747 ± 0.091,0.286 ± 0.180,0.111 ± 0.104,0.303 ± 0.177,0.10003851338340074,5,10386
noise_10,0.9,3.4677307327360563,Causal+Lagged Controls,XGBoost,60,0.740 ± 0.108,0.270 ± 0.179,0.177 ± 0.154,0.282 ± 0.177,0.10003851338340074,5,10386
noise_10,0.9,3.4677307327360563,DT-proxy base,Logistic,120,0.678 ± 0.065,0.159 ± 0.058,0.223 ± 0.081,0.191 ± 0.088,0.10023174971031286,5,10356
noise_10,0.9,3.4677307327360563,DT-proxy base,RF,120,0.624 ± 0.062,0.145 ± 0.075,0.158 ± 0.052,0.179 ± 0.101,0.10023174971031286,5,10356
noise_10,0.9,3.4677307327360563,DT-proxy base,XGBoost,120,0.639 ± 0.037,0.149 ± 0.079,0.175 ± 0.088,0.178 ± 0.113,0.10023174971031286,5,10356
noise_10,0.9,3.4677307327360563,Causal-parents,Logistic,120,0.788 ± 0.059,0.251 ± 0.133,0.179 ± 0.142,0.271 ± 0.184,0.10023174971031286,5,10356
noise_10,0.9,3.4677307327360563,Causal-parents,RF,120,0.729 ± 0.053,0.196 ± 0.126,0.103 ± 0.069,0.205 ± 0.138,0.10023174971031286,5,10356
noise_10,0.9,3.4677307327360563,Causal-parents,XGBoost,120,0.748 ± 0.052,0.209 ± 0.127,0.151 ± 0.115,0.223 ± 0.145,0.10023174971031286,5,10356
noise_10,0.9,3.4677307327360563,Causal+Lagged Controls,Logistic,120,0.744 ± 0.100,0.244 ± 0.150,0.190 ± 0.154,0.241 ± 0.170,0.10023174971031286,5,10356
noise_10,0.9,3.4677307327360563,Causal+Lagged Controls,RF,120,0.752 ± 0.074,0.226 ± 0.149,0.087 ± 0.100,0.240 ± 0.160,0.10023174971031286,5,10356
noise_10,0.9,3.4677307327360563,Causal+Lagged Controls,XGBoost,120,0.749 ± 0.081,0.234 ± 0.157,0.150 ± 0.171,0.256 ± 0.165,0.10023174971031286,5,10356
noise_10,0.95,3.896504981201129,DT-proxy base,Logistic,10,0.927 ± 0.045,0.456 ± 0.232,0.419 ± 0.181,0.287 ± 0.169,0.05019193857965451,5,10420
noise_10,0.95,3.896504981201129,DT-proxy base,RF,10,0.905 ± 0.058,0.412 ± 0.273,0.386 ± 0.251,0.270 ± 0.168,0.05019193857965451,5,10420
noise_10,0.95,3.896504981201129,DT-proxy base,XGBoost,10,0.913 ± 0.063,0.402 ± 0.274,0.347 ± 0.260,0.275 ± 0.167,0.05019193857965451,5,10420
noise_10,0.95,3.896504981201129,Causal-parents,Logistic,10,0.912 ± 0.073,0.472 ± 0.258,0.322 ± 0.250,0.289 ± 0.199,0.05019193857965451,5,10420
noise_10,0.95,3.896504981201129,Causal-parents,RF,10,0.922 ± 0.031,0.416 ± 0.201,0.210 ± 0.198,0.299 ± 0.183,0.05019193857965451,5,10420
noise_10,0.95,3.896504981201129,Causal-parents,XGBoost,10,0.923 ± 0.039,0.402 ± 0.247,0.249 ± 0.233,0.296 ± 0.180,0.05019193857965451,5,10420
noise_10,0.95,3.896504981201129,Causal+Lagged Controls,Logistic,10,0.891 ± 0.070,0.447 ± 0.269,0.298 ± 0.242,0.271 ± 0.191,0.05019193857965451,5,10420
noise_10,0.95,3.896504981201129,Causal+Lagged Controls,RF,10,0.902 ± 0.049,0.397 ± 0.235,0.182 ± 0.204,0.298 ± 0.185,0.05019193857965451,5,10420
noise_10,0.95,3.896504981201129,Causal+Lagged Controls,XGBoost,10,0.924 ± 0.036,0.382 ± 0.243,0.207 ± 0.214,0.290 ± 0.175,0.05019193857965451,5,10420
noise_10,0.95,3.896504981201129,DT-proxy base,Logistic,30,0.848 ± 0.071,0.281 ± 0.204,0.299 ± 0.153,0.212 ± 0.133,0.050163367288103014,5,10406
noise_10,0.95,3.896504981201129,DT-proxy base,RF,30,0.800 ± 0.059,0.279 ± 0.193,0.286 ± 0.172,0.200 ± 0.135,0.050163367288103014,5,10406
noise_10,0.95,3.896504981201129,DT-proxy base,XGBoost,30,0.796 ± 0.063,0.263 ± 0.198,0.285 ± 0.165,0.201 ± 0.135,0.050163367288103014,5,10406
noise_10,0.95,3.896504981201129,Causal-parents,Logistic,30,0.819 ± 0.097,0.297 ± 0.250,0.176 ± 0.217,0.223 ± 0.171,0.050163367288103014,5,10406
noise_10,0.95,3.896504981201129,Causal-parents,RF,30,0.826 ± 0.058,0.272 ± 0.156,0.113 ± 0.134,0.218 ± 0.148,0.050163367288103014,5,10406
noise_10,0.95,3.896504981201129,Causal-parents,XGBoost,30,0.839 ± 0.067,0.280 ± 0.175,0.138 ± 0.169,0.227 ± 0.158,0.050163367288103014,5,10406
noise_10,0.95,3.896504981201129,Causal+Lagged Controls,Logistic,30,0.793 ± 0.133,0.295 ± 0.257,0.214 ± 0.192,0.218 ± 0.157,0.050163367288103014,5,10406
noise_10,0.95,3.896504981201129,Causal+Lagged Controls,RF,30,0.814 ± 0.092,0.280 ± 0.213,0.076 ± 0.129,0.233 ± 0.158,0.050163367288103014,5,10406
noise_10,0.95,3.896504981201129,Causal+Lagged Controls,XGBoost,30,0.819 ± 0.102,0.259 ± 0.200,0.143 ± 0.155,0.222 ± 0.151,0.050163367288103014,5,10406
noise_10,0.95,3.896504981201129,DT-proxy base,Logistic,60,0.731 ± 0.083,0.158 ± 0.122,0.199 ± 0.133,0.160 ± 0.106,0.05016368187945311,5,10386
noise_10,0.95,3.896504981201129,DT-proxy base,RF,60,0.715 ± 0.075,0.158 ± 0.102,0.193 ± 0.124,0.147 ± 0.095,0.05016368187945311,5,10386
noise_10,0.95,3.896504981201129,DT-proxy base,XGBoost,60,0.695 ± 0.106,0.163 ± 0.116,0.176 ± 0.130,0.132 ± 0.090,0.05016368187945311,5,10386
noise_10,0.95,3.896504981201129,Causal-parents,Logistic,60,0.736 ± 0.131,0.187 ± 0.151,0.111 ± 0.158,0.164 ± 0.145,0.05016368187945311,5,10386
noise_10,0.95,3.896504981201129,Causal-parents,RF,60,0.763 ± 0.080,0.164 ± 0.127,0.087 ± 0.126,0.162 ± 0.115,0.05016368187945311,5,10386
noise_10,0.95,3.896504981201129,Causal-parents,XGBoost,60,0.765 ± 0.080,0.188 ± 0.150,0.092 ± 0.126,0.165 ± 0.135,0.05016368187945311,5,10386
noise_10,0.95,3.896504981201129,Causal+Lagged Controls,Logistic,60,0.730 ± 0.167,0.204 ± 0.174,0.102 ± 0.125,0.165 ± 0.134,0.05016368187945311,5,10386
noise_10,0.95,3.896504981201129,Causal+Lagged Controls,RF,60,0.737 ± 0.120,0.158 ± 0.132,0.036 ± 0.080,0.155 ± 0.118,0.05016368187945311,5,10386
noise_10,0.95,3.896504981201129,Causal+Lagged Controls,XGBoost,60,0.713 ± 0.138,0.137 ± 0.131,0.072 ± 0.106,0.129 ± 0.108,0.05016368187945311,5,10386
noise_10,0.95,3.896504981201129,DT-proxy base,Logistic,120,0.645 ± 0.093,0.071 ± 0.022,0.126 ± 0.050,0.081 ± 0.044,0.05040556199304751,5,10356
noise_10,0.95,3.896504981201129,DT-proxy base,RF,120,0.599 ± 0.069,0.078 ± 0.036,0.065 ± 0.016,0.076 ± 0.054,0.05040556199304751,5,10356
noise_10,0.95,3.896504981201129,DT-proxy base,XGBoost,120,0.612 ± 0.076,0.077 ± 0.041,0.072 ± 0.038,0.074 ± 0.054,0.05040556199304751,5,10356
noise_10,0.95,3.896504981201129,Causal-parents,Logistic,120,0.775 ± 0.087,0.158 ± 0.109,0.074 ± 0.113,0.164 ± 0.133,0.05040556199304751,5,10356
noise_10,0.95,3.896504981201129,Causal-parents,RF,120,0.740 ± 0.052,0.110 ± 0.098,0.016 ± 0.029,0.112 ± 0.106,0.05040556199304751,5,10356
noise_10,0.95,3.896504981201129,Causal-parents,XGBoost,120,0.760 ± 0.062,0.130 ± 0.105,0.070 ± 0.085,0.132 ± 0.121,0.05040556199304751,5,10356
noise_10,0.95,3.896504981201129,Causal+Lagged Controls,Logistic,120,0.724 ± 0.121,0.129 ± 0.122,0.109 ± 0.150,0.131 ± 0.121,0.05040556199304751,5,10356
noise_10,0.95,3.896504981201129,Causal+Lagged Controls,RF,120,0.772 ± 0.071,0.139 ± 0.146,0.031 ± 0.069,0.113 ± 0.117,0.05040556199304751,5,10356
noise_10,0.95,3.896504981201129,Causal+Lagged Controls,XGBoost,120,0.758 ± 0.071,0.145 ± 0.147,0.069 ± 0.088,0.131 ± 0.124,0.05040556199304751,5,10356
missing_5,0.85,3.289999999999999,DT-proxy base,Logistic,10,0.936 ± 0.041,0.744 ± 0.089,0.671 ± 0.059,0.680 ± 0.258,0.1505460899956313,5,11445
missing_5,0.85,3.289999999999999,DT-proxy base,RF,10,0.943 ± 0.030,0.768 ± 0.079,0.680 ± 0.065,0.690 ± 0.263,0.1505460899956313,5,11445
missing_5,0.85,3.289999999999999,DT-proxy base,XGBoost,10,0.945 ± 0.030,0.771 ± 0.071,0.691 ± 0.061,0.692 ± 0.264,0.1505460899956313,5,11445
missing_5,0.85,3.289999999999999,Causal-parents,Logistic,10,0.946 ± 0.039,0.776 ± 0.074,0.689 ± 0.045,0.700 ± 0.261,0.1505855619646915,5,11442
missing_5,0.85,3.289999999999999,Causal-parents,RF,10,0.942 ± 0.033,0.747 ± 0.083,0.652 ± 0.061,0.650 ± 0.223,0.1505855619646915,5,11442
missing_5,0.85,3.289999999999999,Causal-parents,XGBoost,10,0.946 ± 0.037,0.779 ± 0.096,0.687 ± 0.079,0.692 ± 0.254,0.1505855619646915,5,11442
missing_5,0.85,3.289999999999999,Causal+Lagged Controls,Logistic,10,0.933 ± 0.062,0.759 ± 0.109,0.675 ± 0.077,0.690 ± 0.262,0.1505855619646915,5,11442
missing_5,0.85,3.289999999999999,Causal+Lagged Controls,RF,10,0.932 ± 0.040,0.711 ± 0.114,0.565 ± 0.147,0.647 ± 0.223,0.1505855619646915,5,11442
missing_5,0.85,3.289999999999999,Causal+Lagged Controls,XGBoost,10,0.939 ± 0.046,0.739 ± 0.144,0.663 ± 0.102,0.671 ± 0.237,0.1505855619646915,5,11442
missing_5,0.85,3.289999999999999,DT-proxy base,Logistic,30,0.866 ± 0.048,0.566 ± 0.132,0.527 ± 0.081,0.566 ± 0.254,0.15048501267150222,5,11443
missing_5,0.85,3.289999999999999,DT-proxy base,RF,30,0.870 ± 0.030,0.567 ± 0.118,0.534 ± 0.065,0.556 ± 0.248,0.15048501267150222,5,11443
missing_5,0.85,3.289999999999999,DT-proxy base,XGBoost,30,0.873 ± 0.035,0.571 ± 0.119,0.524 ± 0.088,0.563 ± 0.255,0.15048501267150222,5,11443
missing_5,0.85,3.289999999999999,Causal-parents,Logistic,30,0.890 ± 0.045,0.604 ± 0.112,0.523 ± 0.078,0.583 ± 0.249,0.15052447552447554,5,11440
missing_5,0.85,3.289999999999999,Causal-parents,RF,30,0.872 ± 0.052,0.548 ± 0.102,0.451 ± 0.132,0.516 ± 0.175,0.15052447552447554,5,11440
missing_5,0.85,3.289999999999999,Causal-parents,XGBoost,30,0.891 ± 0.056,0.624 ± 0.114,0.548 ± 0.061,0.600 ± 0.230,0.15052447552447554,5,11440
missing_5,0.85,3.289999999999999,Causal+Lagged Controls,Logistic,30,0.879 ± 0.063,0.585 ± 0.150,0.496 ± 0.124,0.576 ± 0.239,0.15052447552447554,5,11440
missing_5,0.85,3.289999999999999,Causal+Lagged Controls,RF,30,0.861 ± 0.047,0.536 ± 0.127,0.380 ± 0.139,0.540 ± 0.180,0.15052447552447554,5,11440
missing_5,0.85,3.289999999999999,Causal+Lagged Controls,XGBoost,30,0.875 ± 0.057,0.569 ± 0.202,0.499 ± 0.115,0.578 ± 0.247,0.15052447552447554,5,11440
missing_5,0.85,3.289999999999999,DT-proxy base,Logistic,60,0.786 ± 0.033,0.413 ± 0.179,0.416 ± 0.112,0.470 ± 0.252,0.15052447552447554,5,11440
missing_5,0.85,3.289999999999999,DT-proxy base,RF,60,0.783 ± 0.026,0.408 ± 0.156,0.406 ± 0.106,0.448 ± 0.239,0.15052447552447554,5,11440
missing_5,0.85,3.289999999999999,DT-proxy base,XGBoost,60,0.790 ± 0.024,0.406 ± 0.168,0.416 ± 0.109,0.463 ± 0.250,0.15052447552447554,5,11440
missing_5,0.85,3.289999999999999,Causal-parents,Logistic,60,0.834 ± 0.024,0.460 ± 0.151,0.434 ± 0.102,0.481 ± 0.231,0.15056395908017836,5,11437
missing_5,0.85,3.289999999999999,Causal-parents,RF,60,0.786 ± 0.054,0.355 ± 0.111,0.305 ± 0.092,0.391 ± 0.150,0.15056395908017836,5,11437
missing_5,0.85,3.289999999999999,Causal-parents,XGBoost,60,0.807 ± 0.052,0.413 ± 0.127,0.373 ± 0.099,0.444 ± 0.193,0.15056395908017836,5,11437
missing_5,0.85,3.289999999999999,Causal+Lagged Controls,Logistic,60,0.820 ± 0.050,0.439 ± 0.161,0.417 ± 0.111,0.467 ± 0.209,0.15056395908017836,5,11437
missing_5,0.85,3.289999999999999,Causal+Lagged Controls,RF,60,0.775 ± 0.042,0.375 ± 0.149,0.251 ± 0.175,0.388 ± 0.128,0.15056395908017836,5,11437
missing_5,0.85,3.289999999999999,Causal+Lagged Controls,XGBoost,60,0.789 ± 0.058,0.414 ± 0.186,0.326 ± 0.161,0.427 ± 0.187,0.15056395908017836,5,11437
missing_5,0.85,3.289999999999999,DT-proxy base,Logistic,120,0.707 ± 0.052,0.285 ± 0.183,0.337 ± 0.123,0.387 ± 0.247,0.15060346335490643,5,11434
missing_5,0.85,3.289999999999999,DT-proxy base,RF,120,0.711 ± 0.027,0.248 ± 0.141,0.254 ± 0.109,0.287 ± 0.144,0.15060346335490643,5,11434
missing_5,0.85,3.289999999999999,DT-proxy base,XGBoost,120,0.718 ± 0.027,0.262 ± 0.157,0.285 ± 0.110,0.322 ± 0.164,0.15060346335490643,5,11434
missing_5,0.85,3.289999999999999,Causal-parents,Logistic,120,0.804 ± 0.060,0.373 ± 0.125,0.348 ± 0.100,0.428 ± 0.198,0.15064298836497245,5,11431
missing_5,0.85,3.289999999999999,Causal-parents,RF,120,0.743 ± 0.069,0.270 ± 0.147,0.203 ± 0.106,0.276 ± 0.140,0.15064298836497245,5,11431
missing_5,0.85,3.289999999999999,Causal-parents,XGBoost,120,0.779 ± 0.063,0.289 ± 0.121,0.240 ± 0.100,0.295 ± 0.139,0.15064298836497245,5,11431
missing_5,0.85,3.289999999999999,Causal+Lagged Controls,Logistic,120,0.791 ± 0.101,0.357 ± 0.157,0.362 ± 0.103,0.412 ± 0.173,0.15064298836497245,5,11431
missing_5,0.85,3.289999999999999,Causal+Lagged Controls,RF,120,0.775 ± 0.063,0.312 ± 0.160,0.155 ± 0.141,0.312 ± 0.137,0.15064298836497245,5,11431
missing_5,0.85,3.289999999999999,Causal+Lagged Controls,XGBoost,120,0.752 ± 0.082,0.307 ± 0.169,0.214 ± 0.145,0.350 ± 0.162,0.15064298836497245,5,11431
missing_5,0.9,3.604023952095812,DT-proxy base,Logistic,10,0.952 ± 0.039,0.700 ± 0.139,0.652 ± 0.080,0.534 ± 0.278,0.0999563128003495,5,11445
missing_5,0.9,3.604023952095812,DT-proxy base,RF,10,0.956 ± 0.021,0.709 ± 0.126,0.636 ± 0.103,0.541 ± 0.279,0.0999563128003495,5,11445
missing_5,0.9,3.604023952095812,DT-proxy base,XGBoost,10,0.960 ± 0.026,0.724 ± 0.111,0.641 ± 0.117,0.540 ± 0.278,0.0999563128003495,5,11445
missing_5,0.9,3.604023952095812,Causal-parents,Logistic,10,0.960 ± 0.029,0.717 ± 0.137,0.596 ± 0.231,0.537 ± 0.274,0.09998252053836741,5,11442
missing_5,0.9,3.604023952095812,Causal-parents,RF,10,0.955 ± 0.023,0.692 ± 0.090,0.494 ± 0.164,0.514 ± 0.238,0.09998252053836741,5,11442
missing_5,0.9,3.604023952095812,Causal-parents,XGBoost,10,0.962 ± 0.023,0.730 ± 0.106,0.591 ± 0.140,0.527 ± 0.263,0.09998252053836741,5,11442
missing_5,0.9,3.604023952095812,Causal+Lagged Controls,Logistic,10,0.950 ± 0.040,0.716 ± 0.118,0.593 ± 0.120,0.521 ± 0.265,0.09998252053836741,5,11442
missing_5,0.9,3.604023952095812,Causal+Lagged Controls,RF,10,0.950 ± 0.023,0.674 ± 0.070,0.474 ± 0.176,0.519 ± 0.239,0.09998252053836741,5,11442
missing_5,0.9,3.604023952095812,Causal+Lagged Controls,XGBoost,10,0.962 ± 0.025,0.741 ± 0.098,0.646 ± 0.083,0.530 ± 0.268,0.09998252053836741,5,11442
missing_5,0.9,3.604023952095812,DT-proxy base,Logistic,30,0.890 ± 0.064,0.509 ± 0.177,0.496 ± 0.123,0.442 ± 0.256,0.09997378309883771,5,11443
missing_5,0.9,3.604023952095812,DT-proxy base,RF,30,0.901 ± 0.043,0.486 ± 0.181,0.474 ± 0.126,0.448 ± 0.257,0.09997378309883771,5,11443
missing_5,0.9,3.604023952095812,DT-proxy base,XGBoost,30,0.905 ± 0.044,0.487 ± 0.167,0.487 ± 0.132,0.417 ± 0.207,0.09997378309883771,5,11443
missing_5,0.9,3.604023952095812,Causal-parents,Logistic,30,0.913 ± 0.046,0.535 ± 0.172,0.463 ± 0.240,0.450 ± 0.243,0.1,5,11440
missing_5,0.9,3.604023952095812,Causal-parents,RF,30,0.898 ± 0.045,0.455 ± 0.144,0.333 ± 0.131,0.402 ± 0.157,0.1,5,11440
missing_5,0.9,3.604023952095812,Causal-parents,XGBoost,30,0.916 ± 0.044,0.538 ± 0.176,0.455 ± 0.169,0.450 ± 0.238,0.1,5,11440
missing_5,0.9,3.604023952095812,Causal+Lagged Controls,Logistic,30,0.897 ± 0.033,0.492 ± 0.186,0.441 ± 0.221,0.428 ± 0.220,0.1,5,11440
missing_5,0.9,3.604023952095812,Causal+Lagged Controls,RF,30,0.896 ± 0.039,0.468 ± 0.100,0.263 ± 0.186,0.415 ± 0.175,0.1,5,11440
missing_5,0.9,3.604023952095812,Causal+Lagged Controls,XGBoost,30,0.902 ± 0.048,0.504 ± 0.184,0.414 ± 0.178,0.438 ± 0.225,0.1,5,11440
missing_5,0.9,3.604023952095812,DT-proxy base,Logistic,60,0.776 ± 0.059,0.335 ± 0.191,0.324 ± 0.150,0.340 ± 0.242,0.1,5,11440
missing_5,0.9,3.604023952095812,DT-proxy base,RF,60,0.784 ± 0.031,0.304 ± 0.145,0.322 ± 0.105,0.302 ± 0.180,0.1,5,11440
missing_5,0.9,3.604023952095812,DT-proxy base,XGBoost,60,0.783 ± 0.034,0.301 ± 0.146,0.309 ± 0.125,0.303 ± 0.176,0.1,5,11440
missing_5,0.9,3.604023952095812,Causal-parents,Logistic,60,0.824 ± 0.034,0.366 ± 0.168,0.328 ± 0.226,0.355 ± 0.221,0.10002623065489202,5,11437
missing_5,0.9,3.604023952095812,Causal-parents,RF,60,0.763 ± 0.048,0.239 ± 0.122,0.168 ± 0.115,0.227 ± 0.107,0.10002623065489202,5,11437
missing_5,0.9,3.604023952095812,Causal-parents,XGBoost,60,0.783 ± 0.046,0.275 ± 0.148,0.250 ± 0.119,0.260 ± 0.142,0.10002623065489202,5,11437
missing_5,0.9,3.604023952095812,Causal+Lagged Controls,Logistic,60,0.811 ± 0.045,0.333 ± 0.157,0.323 ± 0.195,0.328 ± 0.192,0.10002623065489202,5,11437
missing_5,0.9,3.604023952095812,Causal+Lagged Controls,RF,60,0.770 ± 0.052,0.270 ± 0.151,0.153 ± 0.128,0.242 ± 0.112,0.10002623065489202,5,11437
missing_5,0.9,3.604023952095812,Causal+Lagged Controls,XGBoost,60,0.764 ± 0.066,0.266 ± 0.138,0.200 ± 0.152,0.265 ± 0.141,0.10002623065489202,5,11437
missing_5,0.9,3.604023952095812,DT-proxy base,Logistic,120,0.693 ± 0.074,0.210 ± 0.186,0.253 ± 0.137,0.271 ± 0.219,0.10005247507433969,5,11434
missing_5,0.9,3.604023952095812,DT-proxy base,RF,120,0.707 ± 0.014,0.156 ± 0.091,0.171 ± 0.081,0.180 ± 0.086,0.10005247507433969,5,11434
missing_5,0.9,3.604023952095812,DT-proxy base,XGBoost,120,0.724 ± 0.050,0.173 ± 0.122,0.183 ± 0.129,0.212 ± 0.133,0.10005247507433969,5,11434
missing_5,0.9,3.604023952095812,Causal-parents,Logistic,120,0.776 ± 0.086,0.263 ± 0.121,0.222 ± 0.189,0.292 ± 0.187,0.1000787332691803,5,11431
missing_5,0.9,3.604023952095812,Causal-parents,RF,120,0.737 ± 0.077,0.178 ± 0.117,0.141 ± 0.095,0.170 ± 0.105,0.1000787332691803,5,11431
missing_5,0.9,3.604023952095812,Causal-parents,XGBoost,120,0.771 ± 0.090,0.184 ± 0.100,0.138 ± 0.068,0.191 ± 0.117,0.1000787332691803,5,11431
missing_5,0.9,3.604023952095812,Causal+Lagged Controls,Logistic,120,0.774 ± 0.113,0.231 ± 0.123,0.241 ± 0.090,0.247 ± 0.116,0.1000787332691803,5,11431
missing_5,0.9,3.604023952095812,Causal+Lagged Controls,RF,120,0.749 ± 0.088,0.208 ± 0.153,0.100 ± 0.105,0.174 ± 0.110,0.1000787332691803,5,11431
missing_5,0.9,3.604023952095812,Causal+Lagged Controls,XGBoost,120,0.728 ± 0.084,0.207 ± 0.156,0.134 ± 0.133,0.213 ± 0.149,0.1000787332691803,5,11431
missing_5,0.95,4.259999999999999,DT-proxy base,Logistic,10,0.948 ± 0.049,0.691 ± 0.195,0.518 ± 0.325,0.310 ± 0.312,0.05006553079947575,5,11445
missing_5,0.95,4.259999999999999,DT-proxy base,RF,10,0.960 ± 0.031,0.698 ± 0.185,0.532 ± 0.325,0.317 ± 0.313,0.05006553079947575,5,11445
missing_5,0.95,4.259999999999999,DT-proxy base,XGBoost,10,0.955 ± 0.041,0.698 ± 0.194,0.530 ± 0.337,0.315 ± 0.313,0.05006553079947575,5,11445
missing_5,0.95,4.259999999999999,Causal-parents,Logistic,10,0.957 ± 0.046,0.722 ± 0.175,0.471 ± 0.298,0.312 ± 0.304,0.05007865757734662,5,11442
missing_5,0.95,4.259999999999999,Causal-parents,RF,10,0.960 ± 0.026,0.707 ± 0.160,0.476 ± 0.336,0.317 ± 0.313,0.05007865757734662,5,11442
missing_5,0.95,4.259999999999999,Causal-parents,XGBoost,10,0.964 ± 0.039,0.711 ± 0.219,0.509 ± 0.342,0.313 ± 0.308,0.05007865757734662,5,11442
missing_5,0.95,4.259999999999999,Causal+Lagged Controls,Logistic,10,0.907 ± 0.110,0.574 ± 0.237,0.394 ± 0.286,0.209 ± 0.126,0.05007865757734662,5,11442
